symbol,Description,Sector,Industry,asOfDate,DilutedEPS,NormalizedEBITDA,TotalRevenue,MarketCap,PriceYoY2021,PriceYoY2022,RevenueYoY2021,RevenueYoY2022,PeRatio
BBY,BEST BUY CO INC COM,Consumer Cyclical,Specialty Retail,2022-01-31,9.84,3874000000.0,51761000000.0,15891000000.0,5.472188714706428,-17.427468591986266,9.519275527908256,-10.554278317652287,10.089430770253747
SJM,SMUCKER (JM) CO COM,Consumer Defensive,Packaged Foods,2021-04-30,7.79,1826000000.0,8002700000.0,15632000000.0,20.57117711651593,20.197548815642428,-0.04748397415872144,6.629661578467038,16.815148330316312
CPB,CAMPBELL SOUP CO COM,Consumer Defensive,Packaged Foods,2021-07-31,3.29,1650000000.0,8476000000.0,15139000000.0,-7.004079680258639,34.23708424968871,-2.47382349557013,1.0146295422369043,13.164134156015507
PHM,PULTE GROUP INC COM,Consumer Cyclical,Residential Construction,2021-12-31,7.43,2705146000.0,13926882000.0,14751000000.0,33.89999538080417,-17.925384941572485,26.19407865943729,16.529995730559072,7.693135914860311
CCL,CARNIVAL CORP UNITS,Consumer Cyclical,Travel Services,2021-11-30,-8.46,-4792000000.0,1908000000.0,14631000000.0,-5.253462013439336,-59.92217906052131,-65.89202717196997,537.7882599580713,-2.082742415985035
MGM,MGM RESORTS INTERNATIONAL COM,Consumer Cyclical,Resorts & Casinos,2021-12-31,2.41,1781942000.0,9680140000.0,14294000000.0,42.16779746182794,-24.641630057649913,87.52394867032332,35.612553124231674,18.62240708220549
LCID,LUCID GROUP INC COM,Consumer Cyclical,Auto Manufacturers,2021-12-31,-6.41,-1471149000.0,27111000.0,14234000000.0,284.34696174853104,-81.91958514102654,581.8661971830986,2143.2997676219984,-5.936037322474344
EXPE,EXPEDIA GROUP INC COM,Consumer Cyclical,Travel Services,2021-12-31,-1.8,1027000000.0,8598000000.0,14177000000.0,34.72541664871337,-51.11417773770487,65.37795729948067,35.69434752267969,-100.4000006781684
LKQ,LKQ CORPORATION COM,Consumer Cyclical,Auto Parts,2021-12-31,3.66,1799114000.0,13088504000.0,14100000000.0,70.7759750553915,-9.299704427561771,12.552200006363496,-2.250096726104068,16.40163901073685
TAP,MOLSON COORS BEVERAGE COMPANY COM CL B,Consumer Defensive,Beverages—Brewers,2021-12-31,4.62,2329500000.0,10279700000.0,13285000000.0,1.554440270756054,11.782105169020918,6.481251294800083,4.098368629434711,10.032467202190713
CUK,CARNIVAL PLC ADR SPONSORED,Consumer Cyclical,Leisure,2021-11-30,-8.46,-4427000000.0,1908000000.0,12989000000.0,0.8556141223758912,-60.975610311089966,-65.89202717196997,537.7882599580713,-1.9137116470517277
NIO,NIO INC ADR,Consumer Cyclical,Auto Manufacturers,2021-12-31,-1.06,-525358462.81,5688647572.49,12709000000.0,-34.531250081490725,-69.54057309452631,122.26947915211608,36.34044797405653,-29.886792740731867
DECK,DECKERS OUTDOOR CORP COM,Consumer Cyclical,Footwear & Accessories,2021-03-31,13.47,504205000.0,2545641000.0,12426000000.0,26.75248552408485,10.167736992384732,23.754252858121,15.139545299728061,24.530067812007005
POOL,POOL CORPORATION COM,Industrials,Industrial Distribution,2021-12-31,15.97,860310000.0,5295584000.0,12345000000.0,52.4363660338965,-45.511988082565225,34.520984102363876,16.695854508209106,35.44145272385723
HTHT,H WORLD GROUP LTD ADR,Consumer Cyclical,Lodging,2021-12-31,-0.24,310592491.7,2012947892.2,11671000000.0,-17.74511694306283,18.063835423283685,25.411926245586503,8.406975834832252,-155.5833339691162
KMX,CARMAX INC COM,Consumer Cyclical,Auto & Truck Dealerships,2022-02-28,6.97,2088429000.0,31900412000.0,11416000000.0,37.86849448507252,-52.542109553204185,68.33858140112777,-6.945173623462919,15.685796532432525
IHG,INTERCONTINENTAL HOTELS GROUP ADR,Consumer Cyclical,Lodging,2021-12-31,1.446,698000000.0,2907000000.0,11365000000.0,1.171028523819695,-7.787451205200552,21.428571428571427,33.88372893016856,45.096818177366984
H,HYATT HOTELS CORP COM CL A,Consumer Cyclical,Lodging,2021-12-31,-2.13,68000000.0,3028000000.0,11359000000.0,29.91119448839818,-5.365093262024248,46.563407550822845,94.55085865257595,-45.02347489477883
WYNN,WYNN RESORTS LTD COM,Consumer Cyclical,Resorts & Casinos,2021-12-31,-6.64,300708000.0,3763664000.0,11232000000.0,-23.9328289937853,0.05809316482424347,79.57603104404348,-0.18171122608181814,-12.807229053543276
DKNG,DRAFTKINGS INC COM CL A,Consumer Cyclical,Gambling,2021-12-31,-3.78,-1470544000.0,1296025000.0,10780000000.0,-40.75532060988406,-58.12533620060116,110.89625926721473,72.87174244323991,-7.267195585543517
ARMK,ARAMARK COM,Industrials,Specialty Business Services,2021-09-30,-0.36,742136000.0,12095965000.0,10289000000.0,-2.3578695452989322,14.74523670387864,-5.717998568773876,34.97578738033717,-91.27777947319879
DPZ,DOMINOS PIZZA INC COM,Consumer Cyclical,Restaurants,2021-12-31,13.54,890089000.0,4357373000.0,10243000000.0,48.16395489408578,-36.90386235106918,5.8279826813500035,4.1259951810414215,41.67873095198255
CHDN,CHURCHILL DOWNS INC COM,Consumer Cyclical,Gambling,2021-12-31,3.175,560000000.0,1597200000.0,10169000000.0,21.496379693963696,-10.874013033682127,51.53700189753321,13.310793889306286,37.93700691283219
MTN,VAIL RESORTS INC COM,Consumer Cyclical,Resorts & Casinos,2021-07-31,3.13,539750000.0,1909710000.0,9808000000.0,19.062002679258306,-24.006275499598072,-2.749599736009093,32.266783961962815,97.0958478153704
BURL,BURLINGTON STORES INC COM,Consumer Cyclical,Apparel Retail,2022-01-31,6.0,1025785000.0,9322256000.0,9762000000.0,10.356531425017874,-28.48208662158362,61.73296923306465,-6.647017631783552,39.48833211263021
FND,FLOOR & DECOR HOLDINGS INC COM CL A,Consumer Cyclical,Home Improvement Retail,2021-12-31,2.64,457188000.0,3433533000.0,9704000000.0,39.785065081479964,-45.137236417250136,41.54299551321055,24.200728520739425,49.246210040468156
SCI,SERVICE CORP INTL COM,Consumer Cyclical,Personal Services,2021-12-31,4.72,1453637000.0,4143143000.0,9616000000.0,45.54184482059469,-0.6033466244461247,17.987537551519875,-0.8322667115279391,15.040253784696935
PAG,PENSKE AUTOMOTIVE GROUP INC COM,Consumer Cyclical,Auto & Truck Dealerships,2021-12-31,14.89,1852400000.0,25554700000.0,9537000000.0,84.98298856057664,9.05661243112973,24.99914399894345,8.84416565250228,7.200805991988121
TPR,TAPESTRY INC COM,Consumer Cyclical,Luxury Goods,2021-06-30,2.95,1187400000.0,5746300000.0,9277000000.0,29.622357018217706,-1.0156287357356424,15.820131414520095,16.327027826601466,14.738982895673331
CZR,CAESARS ENTERTAINMENT INC NEW COM,Consumer Cyclical,Resorts & Casinos,2021-12-31,-4.83,2634000000.0,9570000000.0,8826000000.0,25.288119033273343,-54.080648961259016,175.4749568221071,13.072100313479623,-19.364388981220884
HAS,HASBRO INC COM,Consumer Cyclical,Leisure,2021-12-31,3.1,987200000.0,6420400000.0,8226000000.0,12.144452948087512,-37.61847108196314,17.47263671032705,-8.779826802068406,32.83225767074093
SKX,SKECHERS USA INC COM CL A,Consumer Cyclical,Footwear & Accessories,2021-12-31,4.73,598187000.0,6285029000.0,7949000000.0,21.04972036267443,-3.194891683315705,36.70791884307135,18.448936353356522,9.175476009699556
TOL,TOLL BROS INC COM,Consumer Cyclical,Residential Construction,2021-10-31,6.63,1056088000.0,8790361000.0,7497000000.0,67.94850322276169,-28.758196930167536,24.198707510491815,16.89574523731164,9.220211322490986
GME,GAMESTOP CORPORATION COM CL A,Consumer Cyclical,Specialty Retail,2022-01-31,-1.31,-277900000.0,6010700000.0,7328000000.0,685.4210301449425,-50.03685606563724,18.093048842783606,-1.3891892791189047,-20.788167997170948
WSM,WILLIAMS-SONOMA INC COM,Consumer Cyclical,Specialty Retail,2022-01-31,14.75,1649203000.0,8245936000.0,7290000000.0,69.50841751641997,-29.857146263985396,21.564296675206897,5.196268804414684,10.884067341432733
TXRH,TEXAS ROADHOUSE INC COM,Consumer Cyclical,Restaurants,2021-12-31,3.5,424050000.0,3463946000.0,7229000000.0,15.611022339449779,5.2159132206360015,44.444050617920766,15.905935023236506,25.508571079799108
