time,rawContent
2021-09-14 12:17:34+00:00,Sports Betting stocks to add to your watchlist: GAN $GAN  Draftkings $DKNG  Churchill Downs $CHDN Caesars Entertainment $CZR Penn National Gaming $PENN MGM Resorts International $MGM
2021-09-14 14:37:30+00:00,New market transaction for house rep: Susie Lee. Partial-Sell $CARR $1001 - $15000 on Aug 17 Owner: joint Buy $CHDN $1001 - $15000 on Aug 20 Owner: joint Sell $DELL $1001 - $15000 on Aug 17 Owner: joint Partial-Sell $LYV $1001 - $15000 on Aug 06 Owner: joint
2021-09-15 09:19:35+00:00,$CHDN Wells Fargo analyst Daniel Politzer initiates coverage on Churchill Downs with a Overweight rating.
2021-09-15 12:56:15+00:00,Churchill Downs (CHDN) rated new overweight at Wells Fargo $CHDN
2021-09-15 13:47:38+00:00,Chevron downgrade among today's top calls on Wall Street $MGM $WYNN $RSI $LVS $PDYPY $BALY $PENN $CZR $BYD $CHDN $RRR $DKNG $SOFI $CVX $BA $AAPL
2021-09-15 14:47:43+00:00,"$TSLA on watch w/ flight $MSFT $60bil buyback and 11% divi raise $AAPL fails to impress $WEBR beats and raises guidance UPGRADES: $SOFI (meme play) $CMG $CHDN $RIOT $MARA  $STLD says ""BTD"" $IRNT meme run continues off earnings"
2021-09-15 20:22:22+00:00,Double-inside days to watch tomorrow: $AFRM $ASTR $ATEN $CHDN $DESP $DSKE $FTNT $MATX $MRNA $ONDS $PRTA $PXLW $RDWR $SLG $SPLK $TSN $UMPQ Of these I like FTNT for a pullback buy
2021-09-15 21:45:31+00:00,$CHDN if it had better open interest I would be interested over $220
2021-09-16 14:29:29+00:00,Buyer $MSFT $AMZN $AMAT $CHDN $IMRX
2021-09-16 20:01:58+00:00,New Jersey reports August gaming revenue up 31.0% to $427.7M $BYD $MGM $CZR $CHDN $PENN $WYNN $LVS $GAN $PDYPY $WIMHY $DKNG
2021-09-17 20:09:52+00:00,Bet On It: Expanding sports betting market feasts on Week 1 of NFL season $DKNG $SGMS $CZR $ACEL $BALY $BYD $CHDN $PDYPY $GAN $GENI $LVS $MGM $PENN $RSI $SCR $WYNN $IGT
